Comment,Designator,Footprint,LCSC, LCSC Part#, Mfr, Part#
"Adafruit_Feather_32u4_BluefruitLE","A1","feather:Adafruit_Feather",""
"BAV70","D1,D6,D11,D15,D20,D24,D30,D2,D7,D12,D16,D21,D25,D31,D3,D8,D13,D17,D22,D26,D32,D4,D9,D14,D18,D23,D27,D33,D5,D10,D19,D28,D34","Package_TO_SOT_SMD:SOT-23","","C68978","Changjiang Electronics Tech (CJ)","BAV70"
"Sensor Connector","J1","Connector_FFC-FPC:Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal","","C202118","HRS(Hirose)","FH12-6S-0.5SH(55)"
"4.7k","R1,R2","Resistor_SMD:R_0805_2012Metric","","C17673","UNI-ROYAL(Uniroyal Elec)","0805W8F4701T5E"
"SW_SPDT","SW1","Custom_Footprints:Slide_Switch_SPDT_ThroughHole","","C698225","USAKRO","SS-12D03-G4"
"1U","SW2,SW7,SW12,SW17,SW21,SW25,SW34,SW29,SW42,SW38,SW51,SW46,SW56,SW8,SW13,SW18,SW22,SW26,SW35,SW30,SW43,SW39,SW52,SW47,SW57,SW9,SW14,SW19,SW23,SW27,SW36,SW31,SW44,SW40,SW53,SW48,SW10,SW15,SW20,SW24,SW28,SW37,SW32,SW45,SW41,SW54,SW49,SW63","MX_Alps_Hybrid:MX-1U-NoLED",""
"1.5U","SW3,SW62","MX_Alps_Hybrid:MX-1.5U-NoLED",""
"6.25U","SW33","MX_Alps_Hybrid:MX-6.25U-ReversedStabilizers-NoLED",""
"1.75U","SW4,SW59","MX_Alps_Hybrid:MX-1.75U-NoLED",""
"1.25U","SW5,SW6,SW11,SW16,SW55,SW60,SW64","MX_Alps_Hybrid:MX-1.25U-NoLED",""
"2.25","SW58","MX_Alps_Hybrid:MX-2.25U-ReversedStabilizers-NoLED",""
"2.25","SW66","MX_Alps_Hybrid:MX-2.25U-NoLED",""
"2.75U","SW67","MX_Alps_Hybrid:MX-2.75U-ReversedStabilizers-NoLED",""
"2U","SW68","MX_Alps_Hybrid:MX-2U-ReversedStabilizers-NoLED",""